species,rep,test,mass,wPHgt,totalHgt,lv4Hgt,circ30,bCirc
SPCR,1,0,46.155,16,109,50,7.9,19.2
SPCR,2,1,72.655,22,104,73,8.6,35.8
SPCR,3,1,6.79,1.5,99,42.5,2.6,6
SPCR,4,0,31.175,12,78,49.5,6.5,29.6
SPCR,5,0,34.5,15.5,102.5,57.5,5.5,16.9
SPCR,6,0,3.86,2,51,19.5,1.6,5.1
SPCR,7,0,66.305,20.5,105,67,8.9,32
SPCR,8,0,19.545,10,91.5,44.5,4.3,18.5
SPCR,9,0,7.495,4,69,30.5,3.2,5.1
SPCR,10,0,52.94,16.5,106.5,46,7.8,28.9
SPCR,11,0,22.155,8,78,51,4,17.9
SPCR,12,0,10.395,8,70.5,28,3.1,13.2
SPCR,13,0,84.295,28,106,49,8.7,29.6
SPCR,14,0,18.71,12,73,34,4.4,15.6
SPCR,15,0,3.59,2,54,14,1.9,7.5
SPCR,16,0,58.71,16,103,38,8.2,22.1
SPCR,17,0,38.855,17.5,103,37.5,6.6,17.8
SPCR,18,0,7.345,9.5,71,26,3,4.4
SPCR,19,0,54.96,24,110.5,65,7.9,25.6
SPCR,20,1,23.455,10.5,79.5,38,4.1,19.9
SPCR,21,0,4.85,2.5,75,29,2.6,5.7
SPCR,22,0,69.505,18,102,39.5,8.8,27.4
SPCR,23,0,30.385,23,84.5,38,5.9,13.8
SPCR,24,0,6.02,5,54,29.5,3,6
SPCR,25,0,64.175,26.5,110,53.5,8,31.7
SPCR,26,0,26.795,16,105,40,4.8,14.9
SPCR,27,0,13.755,5.5,97,35,3.4,13.4
SPCR,28,0,46.3,18.5,105.5,52,7,17
SPCR,29,0,32.505,11.5,98,31,5.5,17
SPCR,30,0,4.345,2.5,58.5,14,1.9,4.9
SPCR,31,0,71.9,16.5,98,40,8.4,26
SPCR,32,0,26,10.5,81.5,45,5,16.8
SPCR,33,0,7.95,4,75,26,2.9,5.5
SPCR,34,0,57.325,17,102.5,43,7.8,32.9
SPCR,35,0,29.315,13.5,103,38,5.2,19.8
SPCR,36,0,6.03,3.5,51.5,20,2.8,7
SPCR,T1,1,3.305,1.5,51,18,1.7,5.5
SPCR,T2,1,35.13,14,87,51,5.4,18
SPCR,T3,1,16.72,6.5,75.5,30,4.2,12.1
SPCR,T4,0,32.89,15,109,45.5,5.4,21.7
SPCR,T5,0,60.915,23.5,100,47.5,7.4,29
